,Description,age
418,Commerce de détail de vêtements pour homme en magasin spécialisé,9.977383592017738
419,Commerce de détail de vêtements pour hommes,26.21529745042493
420,"Commerce de détail de vêtements pour hommes, dames et enfants (assortiment général)",27.21630524293165
421,"Commerce de détail de vêtements, de sous-vêtements et d'accessoires pour dame, homme, enfant et bébé en magasin spécialisé, assortiment général",12.278666240204702
422,Commerce de détail en magasin non spécialisé de produits surgelés,11.705286839145106
423,Commerce de détail en magasin non spécialisé sans prédominance alimentaire (surface de vente < 2500m²),13.902660217654171
424,Commerce de détail en magasin non spécialisé sans prédominance alimentaire (surface de vente = 2500m²),21.325136612021858
425,Commerce de détail en magasin non spécialisé à prédominance alimentaire (surface de vente < 100m²),12.99255088783023
426,Commerce de détail en magasin non spécialisé à prédominance alimentaire (surface de vente = 2500m²),11.768361581920903
427,Commerce de détail en magasin non spécialisé à prédominance alimentaire (surface de vente comprise entre 100m² et moins de 400m²),10.38422131147541
428,Commerce de détail en magasin non spécialisé à prédominance alimentaire (surface de vente comprise entre 400m² et moins de 2500m²),14.64959453691848
429,Commerce de détail non spécialisé d'alimentation générale (surface de vente inférieure à 100 m2),27.23646563814867
430,Commerce de détail non spécialisé en produits surgelés,24.831932773109244
431,Commerce de détail par correspondance ou par Internet,4.344032977429382
432,Commerce de détail spécialisé d'animaux de compagnie et d'aliments pour ces animaux,25.458844133099824
433,Commerce de détail spécialisé d'armes et de munitions,34.63398692810458
434,Commerce de détail spécialisé d'articles de droguerie et de produits d'entretien,28.34906695938529
435,Commerce de détail spécialisé d'articles de sport et de matériel de camping,27.916233766233766
436,Commerce de détail spécialisé d'horlogerie et de bijouterie,28.28270509977827
437,"Commerce de détail spécialisé d'équipements de bureau, d'ordinateurs et de matériel de télécommunication",22.47041420118343
438,Commerce de détail spécialisé de combustibles solides et liquides,32.35867895545315
439,Commerce de détail spécialisé de cycles,26.36545682102628
440,"Commerce de détail spécialisé de fleurs et de plantes, de graines et d'engrais",27.014705882352942
441,Commerce de détail spécialisé de jeux et de jouets,26.89838337182448
442,Commerce de détail spécialisé de machines à coudre et à tricoter,34.67142857142857
443,"Commerce de détail spécialisé de matériel photographique, optique et de pécision",29.002683843263554
444,"Commerce de détail spécialisé de papiers peints, de revêtements de murs et de sols",29.582763337893297
445,"Commerce de détail spécialisé de souvenirs, d'objets artisanaux et d'articles religieux",25.738317757009344
446,Commerce de détail spécialisé de timbres-postes et de pièces de monnaies,31.043478260869566
447,Commerce de détail spécialisé de voitures d'enfant,25.454545454545453
448,Commerce de gros d'accessoires du vêtement,8.961832061068701
449,"Commerce de gros d'accessoires, de pièces détachées et d'équipements divers pour véhicules automobiles, y compris la vente de gros de pièces détachées et d'équipements automobiles d'occasion",19.0
450,Commerce de gros d'aliments pour animaux de compagnie,13.51433389544688
451,Commerce de gros d'aliments pour le bétail,11.083769633507853
452,"Commerce de gros d'aliments pour le bétail et de produits agricoles, assortiment général",27.755184331797235
453,Commerce de gros d'animaux vivants,32.120315581854044
